param availability:                                                                                                                                                                                                                                                                                                                                                                      
       	1 	2	3	4	5:=  
[*,*,2]:     
		1   2 	3	4    5  := 						
	1	10	100	10	100	100
	2	10	100	10	100	100
	3	10	100	10	100	100
	4	10	100	10	100	100
	5	10	100	10	100	100
	6	10	100	10	100	100
	7	10	100	10	100	100
	8	10	100	10	100	100
	9	10	100	10	100	100
	10	10	100	10	100	100
	11	100	10	100	10	100
	12	100	10	100	10	100
	13	100	10	100	10	100
	14	100	10	100	10	100
	15	100	10	100	10	100
	16	100	10	100	10	100
	17	100	10	100	10	100
	18	100	10	100	10	100
	19	100	10	100	10	100
	20	100	10	100	10	100
	21	100	100	100	100	10
	22	100	100	100	100	10
	23	100	100	100	100	10
	24	100	100	100	100	10
	25	100	100	100	100	10
	26	100	100	100	100	10
	27	100	100	100	100	10
	28	100	100	100	100	10
	29	100	100	100	100	10
	30	100	100	100	100	10
	31	10	100	10	100	100
	32	10	100	10	100	100
	33	10	100	10	100	100
	34	10	100	10	100	100
	35	10	100	10	100	100
	36	10	100	10	100	100
	37	10	100	10	100	100
	38	10	100	10	100	100
	39	10	100	10	100	100
	40	10	100	10	100	100
	41	100	10	100	10	100
	42	100	10	100	10	100
	43	100	10	100	10	100
	44	100	10	100	10	100
	45	100	10	100	10	100;
 


#cost of an empty shift is $500.
param emptycost:=

   [*,*,1]:
              	1   2   3   4   5 :=			
            1	500	500	500	500	500
			2	500	500	500	500	500
			3	500	500	500	500	500
			4	500	500	500	500	500
			5	500	500	500	500	500
			6	500	500	500	500	500
			7	500	500	500	500	500
			8	500	500	500	500	500
			9	500	500	500	500	500
			10	500	500	500	500	500
			11	500	500	500	500	500
			12	500	500	500	500	500
			13	500	500	500	500	500
			14	500	500	500	500	500
			15	500	500	500	500	500
			16	500	500	500	500	500
			17	500	500	500	500	500
			18	500	500	500	500	500
			19	500	500	500	500	500
			20	500	500	500	500	500
			21	500	500	500	500	500
			22	500	500	500	500	500
			23	500	500	500	500	500
			24	500	500	500	500	500
			25	500	500	500	500	500
			26	500	500	500	500	500
			27	500	500	500	500	500
			28	500	500	500	500	500
			29	500	500	500	500	500
			30	500	500	500	500	500
			31	500	500	500	500	500
			32	500	500	500	500	500
			33	500	500	500	500	500
			34	500	500	500	500	500
			35	500	500	500	500	500
			36	500	500	500	500	500
			37	500	500	500	500	500
			38	500	500	500	500	500
			39	500	500	500	500	500
			40	500	500	500	500	500
			41	500	500	500	500	500
			42	500	500	500	500	500
			43	500	500	500	500	500
			44	500	500	500	500	500
			45	500	500	500	500	500            


   [*,*,2]:
              	1   2   3   4   5 :=			
            1	500	500	500	500	500
			2	500	500	500	500	500
			3	500	500	500	500	500
			4	500	500	500	500	500
			5	500	500	500	500	500
			6	500	500	500	500	500
			7	500	500	500	500	500
			8	500	500	500	500	500
			9	500	500	500	500	500
			10	500	500	500	500	500
			11	500	500	500	500	500
			12	500	500	500	500	500
			13	500	500	500	500	500
			14	500	500	500	500	500
			15	500	500	500	500	500
			16	500	500	500	500	500
			17	500	500	500	500	500
			18	500	500	500	500	500
			19	500	500	500	500	500
			20	500	500	500	500	500
			21	500	500	500	500	500
			22	500	500	500	500	500
			23	500	500	500	500	500
			24	500	500	500	500	500
			25	500	500	500	500	500
			26	500	500	500	500	500
			27	500	500	500	500	500
			28	500	500	500	500	500
			29	500	500	500	500	500
			30	500	500	500	500	500
			31	500	500	500	500	500
			32	500	500	500	500	500
			33	500	500	500	500	500
			34	500	500	500	500	500
			35	500	500	500	500	500
			36	500	500	500	500	500
			37	500	500	500	500	500
			38	500	500	500	500	500
			39	500	500	500	500	500
			40	500	500	500	500	500
			41	500	500	500	500	500
			42	500	500	500	500	500
			43	500	500	500	500	500
			44	500	500	500	500	500
			45	500	500	500	500	500; 
                                                                                                                                                                                                                                                                                                            
